user,days_to_due,workload,priority,was_on_time
dave,29,10,High,0
bob,19,6,Low,0
eve,36,7,Low,1
bob,24,11,Medium,1
dave,21,0,Medium,1
dave,25,0,Low,0
bob,28,11,Low,0
carol,44,6,High,1
carol,7,4,High,1
dave,25,11,Medium,0
alice,26,4,Medium,1
dave,7,11,High,0
carol,14,0,Medium,1
bob,6,5,Medium,1
eve,18,9,Medium,1
dave,14,7,Medium,1
alice,40,4,High,1
eve,24,9,High,1
dave,45,8,High,0
alice,25,6,High,1
dave,8,7,Low,0
alice,8,2,Low,1
eve,42,6,Medium,1
alice,8,11,Medium,1
eve,35,11,Medium,0
alice,35,4,Low,1
alice,5,9,Low,0
carol,9,9,Medium,1
carol,32,6,High,1
dave,30,4,Low,0
carol,29,3,High,1
carol,51,5,Medium,1
alice,53,5,Medium,1
bob,55,11,High,1
alice,1,8,Low,1
dave,13,8,Low,1
carol,9,4,High,1
dave,24,10,Medium,1
alice,52,0,Medium,0
dave,12,6,Medium,0
eve,49,7,High,1
bob,2,11,Medium,1
alice,1,2,Medium,1
dave,26,5,Low,0
carol,56,10,High,0
eve,52,1,Medium,1
alice,9,11,Low,1
eve,3,3,Low,1
bob,3,2,Low,1
alice,40,6,Medium,1
carol,28,8,High,1
bob,35,6,Medium,0
dave,49,1,High,1
dave,5,4,Low,1
alice,35,2,Low,1
alice,24,3,Low,0
dave,38,7,Medium,1
alice,35,8,High,1
bob,2,5,Low,0
alice,36,0,High,1
dave,56,7,Low,0
alice,48,11,Low,1
eve,51,5,Low,1
eve,30,0,Low,1
eve,48,2,Low,1
alice,44,11,Medium,0
eve,6,2,High,0
eve,49,4,Low,0
alice,52,4,Low,1
carol,18,8,Medium,0
bob,3,7,Medium,1
bob,27,9,Medium,1
alice,9,10,Medium,1
eve,42,6,Medium,1
alice,24,11,Medium,1
dave,45,3,High,1
dave,51,6,Low,0
bob,32,6,Low,1
alice,58,5,Medium,1
alice,52,9,Medium,1
carol,37,0,High,1
dave,5,6,Medium,1
dave,30,2,Low,1
eve,50,11,Medium,1
alice,56,2,Medium,1
eve,26,4,Medium,1
alice,12,4,High,1
alice,47,1,Medium,1
alice,40,4,High,0
eve,22,6,Low,1
carol,37,5,High,1
dave,5,0,Medium,0
dave,5,11,Medium,0
eve,39,3,High,1
eve,23,9,Medium,0
dave,34,3,Low,1
carol,58,0,High,1
bob,49,11,Low,0
dave,50,2,High,1
carol,43,4,Low,1
bob,43,11,High,1
bob,51,1,Low,1
bob,8,9,Medium,1
bob,51,8,Low,1
eve,50,10,High,1
alice,21,8,Medium,1
carol,49,2,Medium,1
eve,12,0,Low,1
alice,35,8,Medium,1
dave,48,8,Medium,1
carol,49,3,High,0
dave,9,6,Medium,0
dave,19,9,Low,1
eve,35,11,High,0
eve,36,4,Low,1
eve,53,9,Medium,1
bob,5,2,Low,1
carol,18,11,High,0
dave,17,5,Low,0
bob,9,1,Low,0
eve,29,4,Medium,0
eve,1,5,High,0
alice,45,3,Medium,1
carol,44,5,Low,1
bob,19,6,Medium,0
eve,50,11,Medium,1
dave,8,8,Low,0
eve,28,8,Low,1
alice,56,0,Medium,1
bob,44,4,Medium,0
dave,37,3,Low,0
alice,18,8,High,1
alice,53,5,Medium,1
alice,11,11,Medium,0
dave,24,11,High,1
dave,36,9,Medium,1
dave,28,4,High,1
carol,54,0,High,1
dave,13,11,High,1
carol,6,1,Low,1
alice,2,9,Medium,0
eve,5,6,High,0
bob,32,0,Low,1
alice,22,10,Low,0
alice,34,8,Low,1
eve,48,6,Medium,1
eve,31,4,Medium,0
eve,53,4,Medium,1
alice,21,8,Medium,1
eve,13,3,Medium,1
bob,28,7,Low,0
bob,54,5,Low,1
dave,1,5,High,1
carol,57,0,Low,1
eve,21,1,Low,1
dave,34,5,Medium,0
carol,51,1,High,1
dave,30,6,Medium,0
eve,29,3,Medium,0
bob,17,11,High,0
eve,2,10,Low,1
carol,47,8,Low,1
carol,54,7,High,0
carol,27,1,High,1
carol,21,4,Medium,1
eve,22,4,Medium,1
alice,12,9,Medium,1
bob,45,10,High,1
alice,22,7,Medium,1
eve,17,9,High,1
carol,52,7,Medium,1
dave,23,7,Medium,0
carol,56,2,Low,1
carol,47,11,High,0
carol,51,8,Low,1
bob,39,8,High,1
bob,44,8,High,1
alice,4,9,Low,0
bob,47,3,Low,0
alice,44,2,Medium,1
dave,26,1,Low,1
eve,6,4,High,1
eve,6,5,Low,1
carol,30,7,Low,1
carol,51,7,High,0
bob,20,11,Low,0
alice,30,7,Medium,1
alice,2,10,Medium,1
dave,5,5,Medium,1
carol,20,0,High,1
alice,26,5,High,1
dave,13,10,Low,1
bob,56,9,High,1
dave,2,7,Medium,1
eve,9,0,High,1
carol,30,0,High,0
dave,50,4,Low,0
dave,35,2,High,0
dave,29,7,Low,0
dave,30,2,High,1
carol,59,9,Medium,1
eve,42,8,Medium,0
carol,38,0,Low,1
alice,25,0,High,1
bob,14,4,Low,1
carol,7,2,Medium,1
eve,33,3,Medium,0
dave,29,5,High,0
eve,27,6,High,1
bob,10,4,Low,0
eve,31,3,High,1
eve,8,4,High,1
dave,45,1,Low,0
carol,36,3,Medium,1
eve,20,10,Medium,0
bob,46,10,Medium,0
bob,25,0,Low,0
carol,12,11,High,0
bob,49,11,Low,0
carol,29,7,High,0
alice,46,4,High,1
dave,54,6,High,0
carol,40,4,Low,1
alice,10,3,High,1
alice,35,3,High,0
bob,7,1,Low,0
alice,43,10,Low,1
alice,7,3,Medium,1
alice,49,10,Medium,1
bob,21,0,Low,0
alice,49,3,Medium,1
eve,40,0,Low,1
eve,30,6,Low,1
carol,32,0,High,1
carol,18,0,Medium,1
bob,2,5,High,1
carol,4,0,High,1
carol,32,9,Medium,0
bob,33,6,Low,1
bob,7,7,High,0
carol,24,6,Low,1
alice,47,4,Low,1
dave,47,7,Medium,0
carol,16,3,High,1
bob,7,9,Low,0
eve,19,2,High,1
bob,1,4,Low,1
bob,3,6,Low,1
eve,37,5,Medium,1
eve,44,2,Medium,1
alice,10,7,Low,1
alice,50,2,High,1
bob,45,8,Low,1
carol,46,3,Medium,1
eve,34,6,High,1
bob,21,9,High,1
alice,37,8,Medium,1
eve,42,5,High,1
carol,40,1,High,1
bob,45,0,Medium,1
bob,46,1,Medium,0
carol,53,3,Low,1
eve,11,7,Low,1
alice,59,6,Low,0
eve,56,0,Medium,1
dave,19,2,Low,0
carol,45,10,Medium,1
bob,53,8,High,1
alice,25,10,Medium,1
carol,3,1,High,1
